West Zone Power Distribution Company Ltd (WZPDCL),,,,,,,,
List of Candidates for the post of Switch Board Attendent (SBA) Apprentice,,,,,,,,
,,,,,,,,
SL No.,Roll No.,,,,,,,
259,12126,,,,,,,
260,12706,,,,,,,
261,14610,,,,,,,
262,16022,,,,,,,
263,10075,,,,,,,
264,13458,,,,,,,
265,15824,,,,,,,
266,16388,,,,,,,
267,11714,,,,,,,
268,12138,,,,,,,
269,12784,,,,,,,
270,10695,,,,,,,
271,15402,,,,,,,
272,15955,,,,,,,
273,10457,,,,,,,
274,12446,,,,,,,
275,10140,,,,,,,
276,11453,,,,,,,
277,16587,,,,,,,
278,13054,,,,,,,
279,11377,,,,,,,
280,15982,,,,,,,
281,10037,,,,,,,
282,12200,,,,,,,
283,11305,,,,,,,
284,13251,,,,,,,
285,10153,,,,,,,
286,12405,,,,,,,
287,14334,,,,,,,
288,11321,,,,,,,
289,11461,,,,,,,
290,11462,,,,,,,
291,15974,,,,,,,
292,16092,,,,,,,
293,12775,,,,,,,
294,15967,,,,,,,
295,12404,,,,,,,
296,12631,,,,,,,
297,12661,,,,,,,
298,15379,,,,,,,
299,16124,,,,,,,
300,12508,,,,,,,
301,12883,,,,,,,
302,14684,,,,,,,
303,11538,,,,,,,
304,13021,,,,,,,
